视频类型,关联BV号,text,id,播放量,弹幕数,评论数,收藏数,投币数,分享数,点赞数,点踩数,子分区ID,UP主.x,UP主ID,视频链接,抓取小时,抓取时间,稿件发布时间,UP主.y,UP主ID.y,official_role,official_title,official_desc,official_type,if_state,mid,name,sex,data_follower,archive_count,like_num,condition
相关视频,BV14x4y14754,四川 泸定 地震 造成 遇难 人失联,BV1Dt4y177Uq,177773,1190,764,1203,910,646,39094,0,热点,新华社,473837611.0,https://www.bilibili.com/video/BV1Dt4y177Uq/,268,2024-07-31 19:53,2022-09-06 03:03:00,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16689285,5404,213681222,
相关视频,BV1eu4nerEsB,哈里斯 特朗普 打擂台 赢,BV1hR4EeAExG,108412,200,444,399,191,273,8565,0,环球,央视新闻,456664753.0,https://www.bilibili.com/video/BV1hR4EeAExG/,1259,2024-09-11 02:53,2024-09-12 04:17:39,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19550189,7442,351768520,单个自制视频总播放数>=100万
相关视频,BV12H4y1c7vB,巴勒斯坦 代表团 入场 现场 响起 热烈 掌声,BV1fj411v7R7,1872607,1318,2082,7827,6336,2026,181728,0,综合,央视新闻,456664753.0,https://www.bilibili.com/video/BV1fj411v7R7/,143,2024-07-26 14:53,2023-10-22 13:56:20,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19538939,7435,351374038,单个自制视频总播放数>=100万
相关视频,BV1eu4nerEsB,辩论 现场 压制 特朗普 卡马拉 哈里斯 超出 所有人 预期,BV1914zefEiG,137980,104,368,454,59,58,11534,0,环球,N小黑财经官方,579796153.0,https://www.bilibili.com/video/BV1914zefEiG/,1259,2024-09-11 02:53,2024-09-11 08:22:08,N小黑财经官方,579796153.0,5.0,N小黑财经栏目官方账号,,1.0,1,579796153.0,N小黑财经官方,男,211884,1125,9644229,
相关视频,BV1hE4m1R7qD,柬 台湾同胞 困难 请 找 中国大使馆,BV1Za4y1f7hQ,854893,1221,2202,7065,12799,1871,166442,0,热点,人民日报,1131457022.0,https://www.bilibili.com/video/BV1Za4y1f7hQ/,127,2024-07-25 22:53,2022-08-21 10:59:51,人民日报,1131457022.0,5.0,人民日报官方账号,,1.0,1,1131457022.0,人民日报,保密,15220715,3042,157267295,单个自制视频总播放数>=100万
相关视频,BV1yr421K7Cc,人大 博士生 举报 教授 性骚扰 校方 回应 成立 工作组 调查核实,BV1bM4m117Az,99151,48,929,269,649,265,13447,0,社会,环球网,483787858.0,https://www.bilibili.com/video/BV1bM4m117Az/,48,2024-07-22 15:53,2024-07-22 02:33:07,环球网,483787858.0,5.0,环球网官方账号,,1.0,1,483787858.0,环球网,保密,1421269,30048,210348227,单个自制视频总播放数>=100万
相关视频,BV17i421a7Lp,青回 美 发布 北京 冬奥 宣传片 满满的 童年 回忆,BV1vU4y1P7ED,369990,1085,2203,4777,5409,4977,53737,0,热点,新华社,473837611.0,https://www.bilibili.com/video/BV1vU4y1P7ED/,744,2024-08-20 15:53,2021-09-07 00:00:16,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16698094,5410,213795957,
相关视频,BV1Jb42177To,身高 不足 守护 村民 健康,BV1wr4y1o7Zt,2118662,8771,3613,36958,74098,4580,378667,0,三农,新华社,473837611.0,https://www.bilibili.com/video/BV1wr4y1o7Zt/,512,2024-08-10 23:53,2023-08-19 03:23:54,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16689285,5404,213681222,
相关视频,BV1C4421U7Sh,传递 真相 南京大屠杀 唯一 动态 影像,BV1fR4y1s7ij,3406027,19376,9582,130377,297554,21343,533216,0,热点,新华社,473837611.0,https://www.bilibili.com/video/BV1fR4y1s7ij/,349,2024-08-04 04:53,2021-12-13 00:46:54,新华社,473837611.0,5.0,新华社官方账号,,1.0,1,473837611.0,新华社,保密,16689285,5404,213681222,
相关视频,BV1cT421r7EN,北京 冬 残奥会 闭幕式 升国旗 奏国歌,BV1xY41137Ut,128433,0,53,547,923,153,20943,0,热点,央视新闻,456664753.0,https://www.bilibili.com/video/BV1xY41137Ut/,202,2024-07-29 01:53,2022-03-13 12:20:34,央视新闻,456664753.0,5.0,央视新闻官方账号,,1.0,1,456664753.0,央视新闻,保密,19538939,7435,351374038,单个自制视频总播放数>=100万
