"X","视频类型","关联BV号","标题","BV号","播放量","弹幕数","评论数","收藏数","投币数","分享数","点赞数","点踩数","子分区ID","UP主.x","UP主ID","视频链接","抓取小时","抓取时间","稿件发布时间","UP主.y","UP主ID.y","official_role","official_title","official_desc","official_type","if_state"
12143,"相关视频","BV1LU411S794","【黑神话：悟空】4K 最高画质 全探索 全剧情流程通关攻略 西游背景动作角色扮演游戏 首款国产3A大作","BV1AE4m1d7XT",309346,3824,786,7771,4030,2250,8192,0,"单机游戏","11的游戏世界",360046931,"https://www.bilibili.com/video/BV1AE4m1d7XT/",727,"2024-08-19 22:53","2024-08-20 02:56:03",NA,NA,NA,NA,NA,NA,0
12144,"相关视频","BV1LU411S794","【黑神话悟空 4K】全搜集逃课教学丨类魂苦手丨剧情攻略实况解说","BV1z6Wpe7E4J",1430,3,6,8,10,0,93,0,"单机游戏","厄小幺_ExiaoYao",21236956,"https://www.bilibili.com/video/BV1z6Wpe7E4J/",727,"2024-08-19 22:53","2024-08-20 11:36:25",NA,NA,NA,NA,NA,NA,0
12145,"相关视频","BV1LU411S794","【黑神话；悟空-全流程】一次看个爽","BV1ZwWpeVEPZ",1639,6,10,10,26,3,40,0,"单机游戏","索亚特丶S13",27737278,"https://www.bilibili.com/video/BV1ZwWpeVEPZ/",727,"2024-08-19 22:53","2024-08-20 11:06:08",NA,NA,NA,NA,NA,NA,0
12146,"相关视频","BV1LU411S794","黑神话：悟空 全剧情CG","BV1KNWHeWEVW",113699,588,123,773,431,686,1322,0,"单机游戏","零雨柒梦",455066371,"https://www.bilibili.com/video/BV1KNWHeWEVW/",727,"2024-08-19 22:53","2024-08-20 05:41:51",NA,NA,NA,NA,NA,NA,0
12147,"相关视频","BV1LU411S794","全球首通！笑笑历经2个小时无定风珠干碎黄风怪，西卡黑莓掩面痛哭，我们是冠军孙哥，完美谢幕了今天。","BV1UnWpecETg",72432,136,83,38,7,67,358,0,"单机游戏","Forgive7",1952031252,"https://www.bilibili.com/video/BV1UnWpecETg/",727,"2024-08-19 22:53","2024-08-20 11:21:22",NA,NA,NA,NA,NA,NA,0
12148,"相关视频","BV1LU411S794","【周淑怡】玩《黑神话悟空》！【更新中】","BV1ZzWnegEBy",2406,1,4,27,4,1,27,0,"单机游戏","艾米尔Official",397111654,"https://www.bilibili.com/video/BV1ZzWnegEBy/",727,"2024-08-19 22:53","2024-08-20 07:16:51",NA,NA,NA,NA,NA,NA,0
13824,"热门视频","","假如星穹铁道里的角色也拍短视频【第21期】","BV1Pd4yetEFD",351676,258,167,3834,575,330,49410,0,"手机游戏","火系背后的爹",360680503,"https://www.bilibili.com/video/BV1Pd4yetEFD/",1332,"2024-09-14 03:53","2024-09-15 03:05:00",NA,NA,NA,NA,NA,NA,0
13825,"相关视频","BV1Pd4yetEFD","《小食痰鸡》","BV11q4meTEV3",330168,423,454,1950,2172,2640,48253,0,"搞笑","伤心欲茄222",3493260618106936,"https://www.bilibili.com/video/BV11q4meTEV3/",1332,"2024-09-14 03:53","2024-09-15 09:59:08",NA,NA,NA,NA,NA,NA,0
13826,"相关视频","BV1Pd4yetEFD","【像素方舟】博士，你在想些什么呀！？♡","BV1ed4CeBEN9",189941,116,227,9833,2741,543,16121,0,"短片·手书","可可爱爱当老板",23226277,"https://www.bilibili.com/video/BV1ed4CeBEN9/",1332,"2024-09-14 03:53","2024-09-15 02:00:42",NA,NA,NA,NA,NA,NA,0
13827,"相关视频","BV1Pd4yetEFD","【干货】不小心得了诺贝尔奖怎么办？","BV1m8tMeYEC4",373962,580,710,3516,1163,1197,69620,0,"校园学习","闪电侠-flash",482213447,"https://www.bilibili.com/video/BV1m8tMeYEC4/",1332,"2024-09-14 03:53","2024-09-15 04:00:00",NA,NA,NA,NA,NA,NA,0
13828,"相关视频","BV1Pd4yetEFD","【崩铁】假如崩铁里也有短视频第三期","BV19S48eNEbG",123656,212,109,3946,463,676,23684,0,"手机游戏","橙絮搅拌机",21917830,"https://www.bilibili.com/video/BV19S48eNEbG/",1332,"2024-09-14 03:53","2024-09-10 12:33:29",NA,NA,NA,NA,NA,NA,0
13829,"相关视频","BV1Pd4yetEFD","假如星穹铁道里的角色也拍短视频【第十四期】","BV1oz421176P",1612087,928,552,44439,6349,5704,216802,0,"手机游戏","火系背后的爹",360680503,"https://www.bilibili.com/video/BV1oz421176P/",1332,"2024-09-14 03:53","2024-05-18 03:05:00",NA,NA,NA,NA,NA,NA,0
13830,"相关视频","BV1Pd4yetEFD","斯科特单曲《不许踏上旅途》Don't take the Journey","BV11FpeenE6D",774708,594,1587,42688,21348,22161,110205,0,"人力VOCALOID","金咸鱼",24961799,"https://www.bilibili.com/video/BV11FpeenE6D/",1332,"2024-09-14 03:53","2024-09-08 04:12:45",NA,NA,NA,NA,NA,NA,0
13831,"相关视频","BV1Pd4yetEFD","踏上巡猎命途的黄泉","BV1JctKeyEYS",159596,75,233,4456,159,1173,20672,0,"手机游戏","俊兮jx",348639229,"https://www.bilibili.com/video/BV1JctKeyEYS/",1332,"2024-09-14 03:53","2024-09-14 11:41:04",NA,NA,NA,NA,NA,NA,0
13832,"相关视频","BV1Pd4yetEFD","假如星穹铁道里的角色也拍短视频【第十五期】","BV1pJ4m1G7ve",1054789,1431,527,38819,5023,5144,205627,0,"手机游戏","火系背后的爹",360680503,"https://www.bilibili.com/video/BV1pJ4m1G7ve/",1332,"2024-09-14 03:53","2024-06-01 03:05:00",NA,NA,NA,NA,NA,NA,0
